person,sites
http://www.wikidata.org/entity/Q855252,131
http://www.wikidata.org/entity/Q2105,130
http://www.wikidata.org/entity/Q11891,130
http://www.wikidata.org/entity/Q296,130
http://www.wikidata.org/entity/Q36740,130
http://www.wikidata.org/entity/Q35648,130
http://www.wikidata.org/entity/Q35236,130
http://www.wikidata.org/entity/Q8423,130
http://www.wikidata.org/entity/Q8612,130
http://www.wikidata.org/entity/Q7349,130
http://www.wikidata.org/entity/Q205707,129
http://www.wikidata.org/entity/Q2001,129
http://www.wikidata.org/entity/Q1149,129
http://www.wikidata.org/entity/Q11881,129
http://www.wikidata.org/entity/Q11896,129
http://www.wikidata.org/entity/Q12325,129
http://www.wikidata.org/entity/Q32927,129
http://www.wikidata.org/entity/Q7294,129
http://www.wikidata.org/entity/Q11869,128
http://www.wikidata.org/entity/Q12306,128
http://www.wikidata.org/entity/Q1631,128
http://www.wikidata.org/entity/Q11860,128
http://www.wikidata.org/entity/Q41585,128
http://www.wikidata.org/entity/Q33923,128
http://www.wikidata.org/entity/Q34286,128
http://www.wikidata.org/entity/Q35171,128
http://www.wikidata.org/entity/Q5600,128
http://www.wikidata.org/entity/Q7298,128
http://www.wikidata.org/entity/Q16397,127
http://www.wikidata.org/entity/Q1463,127
http://www.wikidata.org/entity/Q12312,127
http://www.wikidata.org/entity/Q30875,127
http://www.wikidata.org/entity/Q35332,127
http://www.wikidata.org/entity/Q4583,127
http://www.wikidata.org/entity/Q34189,127
http://www.wikidata.org/entity/Q34597,127
http://www.wikidata.org/entity/Q11637,126
http://www.wikidata.org/entity/Q1253,126
http://www.wikidata.org/entity/Q180589,126
http://www.wikidata.org/entity/Q32732,126
http://www.wikidata.org/entity/Q2866,126
http://www.wikidata.org/entity/Q34787,126
http://www.wikidata.org/entity/Q35314,126
http://www.wikidata.org/entity/Q35286,126
http://www.wikidata.org/entity/Q36014,126
http://www.wikidata.org/entity/Q8873,126
http://www.wikidata.org/entity/Q7371,126
http://www.wikidata.org/entity/Q4573,125
http://www.wikidata.org/entity/Q35041,125
http://www.wikidata.org/entity/Q33760,125
http://www.wikidata.org/entity/Q37181,125
http://www.wikidata.org/entity/Q43723,125
http://www.wikidata.org/entity/Q33977,125
http://www.wikidata.org/entity/Q8573,125
http://www.wikidata.org/entity/Q20055561,124
http://www.wikidata.org/entity/Q2599,124
http://www.wikidata.org/entity/Q30449,124
http://www.wikidata.org/entity/Q35678,124
http://www.wikidata.org/entity/Q106529,123
http://www.wikidata.org/entity/Q11975,123
http://www.wikidata.org/entity/Q234679,123
http://www.wikidata.org/entity/Q36949,123
http://www.wikidata.org/entity/Q34413,123
http://www.wikidata.org/entity/Q7311,123
http://www.wikidata.org/entity/Q9685,123
http://www.wikidata.org/entity/Q192,122
http://www.wikidata.org/entity/Q10304982,122
http://www.wikidata.org/entity/Q16574,122
http://www.wikidata.org/entity/Q2263,122
http://www.wikidata.org/entity/Q264766,122
http://www.wikidata.org/entity/Q35686,122
http://www.wikidata.org/entity/Q39619,122
http://www.wikidata.org/entity/Q41163,122
http://www.wikidata.org/entity/Q35811,122
http://www.wikidata.org/entity/Q34389,122
http://www.wikidata.org/entity/Q35498,122
http://www.wikidata.org/entity/Q503706,122
http://www.wikidata.org/entity/Q82110,122
http://www.wikidata.org/entity/Q7304,122
http://www.wikidata.org/entity/Q23380,121
http://www.wikidata.org/entity/Q2685,121
http://www.wikidata.org/entity/Q34743,121
http://www.wikidata.org/entity/Q44301,121
http://www.wikidata.org/entity/Q37001,121
http://www.wikidata.org/entity/Q9391,121
http://www.wikidata.org/entity/Q5264,121
http://www.wikidata.org/entity/Q9546,121
http://www.wikidata.org/entity/Q8003,121
http://www.wikidata.org/entity/Q9545,121
http://www.wikidata.org/entity/Q151892,120
http://www.wikidata.org/entity/Q10707,120
http://www.wikidata.org/entity/Q3099714,120
http://www.wikidata.org/entity/Q23365,120
http://www.wikidata.org/entity/Q35610,120
http://www.wikidata.org/entity/Q34253,120
http://www.wikidata.org/entity/Q9045,120
http://www.wikidata.org/entity/Q1189,119
http://www.wikidata.org/entity/Q33817,119
http://www.wikidata.org/entity/Q37030,119
http://www.wikidata.org/entity/Q37103,119
http://www.wikidata.org/entity/Q37175,119
http://www.wikidata.org/entity/Q36450,119
http://www.wikidata.org/entity/Q34474,119
http://www.wikidata.org/entity/Q44329,119
http://www.wikidata.org/entity/Q488006,119
http://www.wikidata.org/entity/Q34211,119
http://www.wikidata.org/entity/Q9535,119
http://www.wikidata.org/entity/Q8962,119
http://www.wikidata.org/entity/Q8772,119
http://www.wikidata.org/entity/Q17293,118
http://www.wikidata.org/entity/Q1835,118
http://www.wikidata.org/entity/Q23543,118
http://www.wikidata.org/entity/Q34460,118
http://www.wikidata.org/entity/Q39476,118
http://www.wikidata.org/entity/Q36268,118
http://www.wikidata.org/entity/Q359442,118
http://www.wikidata.org/entity/Q34943,118
http://www.wikidata.org/entity/Q34981,118
http://www.wikidata.org/entity/Q9372,118
http://www.wikidata.org/entity/Q10665,117
http://www.wikidata.org/entity/Q19185,117
http://www.wikidata.org/entity/Q23891,117
http://www.wikidata.org/entity/Q36488,117
http://www.wikidata.org/entity/Q33772,117
http://www.wikidata.org/entity/Q56434717,117
http://www.wikidata.org/entity/Q29179,116
http://www.wikidata.org/entity/Q25328,116
http://www.wikidata.org/entity/Q34105,116
http://www.wikidata.org/entity/Q37388,116
http://www.wikidata.org/entity/Q37979,116
http://www.wikidata.org/entity/Q35802,116
http://www.wikidata.org/entity/Q37459,116
http://www.wikidata.org/entity/Q20110,115
http://www.wikidata.org/entity/Q202943,115
http://www.wikidata.org/entity/Q1409,115
http://www.wikidata.org/entity/Q44519,115
