person,sites
http://www.wikidata.org/entity/Q881024,31
http://www.wikidata.org/entity/Q1774685,31
http://www.wikidata.org/entity/Q1250338,31
http://www.wikidata.org/entity/Q3284911,31
http://www.wikidata.org/entity/Q3430858,31
http://www.wikidata.org/entity/Q1744341,31
http://www.wikidata.org/entity/Q1640011,31
http://www.wikidata.org/entity/Q510450,31
http://www.wikidata.org/entity/Q51795,31
http://www.wikidata.org/entity/Q549047,31
http://www.wikidata.org/entity/Q302186,31
http://www.wikidata.org/entity/Q1377227,31
http://www.wikidata.org/entity/Q1256952,31
http://www.wikidata.org/entity/Q646166,31
http://www.wikidata.org/entity/Q1258661,31
http://www.wikidata.org/entity/Q675179,31
http://www.wikidata.org/entity/Q51293,30
http://www.wikidata.org/entity/Q2466726,30
http://www.wikidata.org/entity/Q1035128,30
http://www.wikidata.org/entity/Q3422924,30
http://www.wikidata.org/entity/Q430698,30
http://www.wikidata.org/entity/Q892442,30
http://www.wikidata.org/entity/Q765880,30
http://www.wikidata.org/entity/Q864918,30
http://www.wikidata.org/entity/Q295375,30
http://www.wikidata.org/entity/Q673361,30
http://www.wikidata.org/entity/Q853847,30
http://www.wikidata.org/entity/Q7881262,30
http://www.wikidata.org/entity/Q557584,30
http://www.wikidata.org/entity/Q5764991,30
http://www.wikidata.org/entity/Q835154,30
http://www.wikidata.org/entity/Q616337,30
http://www.wikidata.org/entity/Q796591,30
http://www.wikidata.org/entity/Q828473,30
http://www.wikidata.org/entity/Q1136987,30
http://www.wikidata.org/entity/Q1269082,30
http://www.wikidata.org/entity/Q11947,30
http://www.wikidata.org/entity/Q180916,30
http://www.wikidata.org/entity/Q116113,30
http://www.wikidata.org/entity/Q1800888,30
http://www.wikidata.org/entity/Q1251394,30
http://www.wikidata.org/entity/Q1426891,30
http://www.wikidata.org/entity/Q1381592,30
http://www.wikidata.org/entity/Q1193472,30
http://www.wikidata.org/entity/Q202529,30
http://www.wikidata.org/entity/Q1986193,30
http://www.wikidata.org/entity/Q3223764,29
http://www.wikidata.org/entity/Q828542,29
http://www.wikidata.org/entity/Q929273,29
http://www.wikidata.org/entity/Q92566,29
http://www.wikidata.org/entity/Q737236,29
http://www.wikidata.org/entity/Q2492923,29
http://www.wikidata.org/entity/Q675788,29
http://www.wikidata.org/entity/Q742971,29
http://www.wikidata.org/entity/Q1649583,29
http://www.wikidata.org/entity/Q47958,29
http://www.wikidata.org/entity/Q822524,29
http://www.wikidata.org/entity/Q16351,29
http://www.wikidata.org/entity/Q901323,29
http://www.wikidata.org/entity/Q1059919,29
http://www.wikidata.org/entity/Q1061603,29
http://www.wikidata.org/entity/Q904189,29
http://www.wikidata.org/entity/Q23554,29
http://www.wikidata.org/entity/Q606202,29
http://www.wikidata.org/entity/Q1000118,29
http://www.wikidata.org/entity/Q159051,29
http://www.wikidata.org/entity/Q19382,29
http://www.wikidata.org/entity/Q716835,29
http://www.wikidata.org/entity/Q762731,29
http://www.wikidata.org/entity/Q158940,29
http://www.wikidata.org/entity/Q2044655,29
http://www.wikidata.org/entity/Q719274,29
http://www.wikidata.org/entity/Q627323,29
http://www.wikidata.org/entity/Q1982348,29
http://www.wikidata.org/entity/Q15837802,29
http://www.wikidata.org/entity/Q1150106,28
http://www.wikidata.org/entity/Q1072866,28
http://www.wikidata.org/entity/Q77001957,28
http://www.wikidata.org/entity/Q1150281,28
http://www.wikidata.org/entity/Q51752,28
http://www.wikidata.org/entity/Q1186309,28
http://www.wikidata.org/entity/Q767120,28
http://www.wikidata.org/entity/Q5342183,28
http://www.wikidata.org/entity/Q1067046,28
http://www.wikidata.org/entity/Q783843,28
http://www.wikidata.org/entity/Q30334,28
http://www.wikidata.org/entity/Q51800,28
http://www.wikidata.org/entity/Q1162210,28
http://www.wikidata.org/entity/Q52852,28
http://www.wikidata.org/entity/Q2320164,28
http://www.wikidata.org/entity/Q3665163,28
http://www.wikidata.org/entity/Q17309,28
http://www.wikidata.org/entity/Q10990037,28
http://www.wikidata.org/entity/Q838088,28
http://www.wikidata.org/entity/Q837909,28
http://www.wikidata.org/entity/Q21772120,28
http://www.wikidata.org/entity/Q1408697,28
http://www.wikidata.org/entity/Q842949,28
http://www.wikidata.org/entity/Q835558,28
http://www.wikidata.org/entity/Q3899725,28
http://www.wikidata.org/entity/Q1148659,28
http://www.wikidata.org/entity/Q2258938,28
http://www.wikidata.org/entity/Q1057356,28
http://www.wikidata.org/entity/Q912640,28
http://www.wikidata.org/entity/Q2289535,28
http://www.wikidata.org/entity/Q605417,28
http://www.wikidata.org/entity/Q910204,28
http://www.wikidata.org/entity/Q904719,28
http://www.wikidata.org/entity/Q1753322,27
http://www.wikidata.org/entity/Q51311,27
http://www.wikidata.org/entity/Q3349480,27
http://www.wikidata.org/entity/Q855089,27
http://www.wikidata.org/entity/Q838097,27
http://www.wikidata.org/entity/Q3624677,27
http://www.wikidata.org/entity/Q1181328,27
http://www.wikidata.org/entity/Q1640313,27
http://www.wikidata.org/entity/Q1104987,27
http://www.wikidata.org/entity/Q3221958,27
http://www.wikidata.org/entity/Q1092632,27
http://www.wikidata.org/entity/Q1627590,27
http://www.wikidata.org/entity/Q511769,27
http://www.wikidata.org/entity/Q831605,27
http://www.wikidata.org/entity/Q770974,27
http://www.wikidata.org/entity/Q221110,27
http://www.wikidata.org/entity/Q1409858,27
http://www.wikidata.org/entity/Q1233109,27
http://www.wikidata.org/entity/Q58841951,27
http://www.wikidata.org/entity/Q1996431,27
http://www.wikidata.org/entity/Q582234,27
http://www.wikidata.org/entity/Q21782656,27
http://www.wikidata.org/entity/Q940279,27
http://www.wikidata.org/entity/Q21541731,27
